Brand,Description,Size,VendorNumber,VendorName,PONumber,PODate,ReceivingDate,InvoiceDate,PayDate,PurchasePrice,Quantity,Dollars,Classification
8412,Tequila Ocho Plata Fresno,750mL,105,ALTAMAR BRANDS LLC         ,8124,21/12/2015,02/01/2016,04/01/2016,16/02/2016,35.71,6,214.26,1
5255,TGI Fridays Ultimte Mudslide,1.75L,4466,AMERICAN VINTAGE BEVERAGE  ,8137,22/12/2015,01/01/2016,07/01/2016,21/02/2016,9.35,4,37.4,1
5215,TGI Fridays Long Island Iced,1.75L,4466,AMERICAN VINTAGE BEVERAGE  ,8137,22/12/2015,02/01/2016,07/01/2016,21/02/2016,9.41,5,47.05,1
5255,TGI Fridays Ultimte Mudslide,1.75L,4466,AMERICAN VINTAGE BEVERAGE  ,8137,22/12/2015,01/01/2016,07/01/2016,21/02/2016,9.35,6,56.1,1
2034,Glendalough Double Barrel,750mL,388,ATLANTIC IMPORTING COMPANY ,8169,24/12/2015,02/01/2016,09/01/2016,16/02/2016,21.32,5,106.6,1
3348,Bombay Sapphire Gin,1.75L,480,BACARDI USA INC            ,8106,20/12/2015,02/01/2016,12/01/2016,05/02/2016,22.38,6,134.28,1
8358,Bacardi 151 Proof,750mL,480,BACARDI USA INC            ,8106,20/12/2015,01/01/2016,12/01/2016,05/02/2016,14.49,12,173.88,1
4903,Bacardi Superior Rum,200mL,480,BACARDI USA INC            ,8106,20/12/2015,01/01/2016,12/01/2016,05/02/2016,2.87,48,137.76,1
3782,Grey Goose Le Citron Vodka,750mL,480,BACARDI USA INC            ,8106,20/12/2015,02/01/2016,12/01/2016,05/02/2016,18.89,5,94.45,1
4233,Castillo Silver Label Rum,1.75L,480,BACARDI USA INC            ,8106,20/12/2015,01/01/2016,12/01/2016,05/02/2016,7.87,23,181.01,1
3830,Grey Goose L'Orange Vodka,750mL,480,BACARDI USA INC            ,8106,20/12/2015,01/01/2016,12/01/2016,05/02/2016,18.45,6,110.7,1
2628,Dewars Special RSV 12-Yr,750mL,480,BACARDI USA INC            ,8106,20/12/2015,01/01/2016,12/01/2016,05/02/2016,23.43,12,281.16,1
4196,Bacardi Dragon Berry Rum,750mL,480,BACARDI USA INC            ,8106,20/12/2015,01/01/2016,12/01/2016,05/02/2016,7.46,12,89.52,1
3830,Grey Goose L'Orange Vodka,750mL,480,BACARDI USA INC            ,8106,20/12/2015,01/01/2016,12/01/2016,05/02/2016,18.45,12,221.4,1
8358,Bacardi 151 Proof,750mL,480,BACARDI USA INC            ,8106,20/12/2015,01/01/2016,12/01/2016,05/02/2016,14.49,12,173.88,1
3961,Grey Goose La Poire Vodka,750mL,480,BACARDI USA INC            ,8106,20/12/2015,02/01/2016,12/01/2016,05/02/2016,18.17,6,109.02,1
3139,Grey Goose Le Melon,750mL,480,BACARDI USA INC            ,8106,20/12/2015,01/01/2016,12/01/2016,05/02/2016,17.64,12,211.68,1
3016,Bombay Sapphire East Gin,750mL,480,BACARDI USA INC            ,8106,20/12/2015,01/01/2016,12/01/2016,05/02/2016,14.59,35,510.65,1
7221,M & R Sweet Vermouth,1.5L,480,BACARDI USA INC            ,8106,20/12/2015,02/01/2016,12/01/2016,05/02/2016,6.86,4,27.44,2
3782,Grey Goose Le Citron Vodka,750mL,480,BACARDI USA INC            ,8106,20/12/2015,02/01/2016,12/01/2016,05/02/2016,18.89,18,340.02,1
3961,Grey Goose La Poire Vodka,750mL,480,BACARDI USA INC            ,8106,20/12/2015,01/01/2016,12/01/2016,05/02/2016,18.17,12,218.04,1
4227,Bacardi Superior Rum Trav,1.75L,480,BACARDI USA INC            ,8106,20/12/2015,02/01/2016,12/01/2016,05/02/2016,14.17,6,85.02,1
4267,Bacardi Limon Rum,1.75L,480,BACARDI USA INC            ,8106,20/12/2015,02/01/2016,12/01/2016,05/02/2016,15.62,6,93.72,1
3436,Bombay Dry Gin,1.75L,480,BACARDI USA INC            ,8106,20/12/2015,02/01/2016,12/01/2016,05/02/2016,18.79,6,112.74,1
3344,Bombay Sapphire Gin,750mL,480,BACARDI USA INC            ,8106,20/12/2015,02/01/2016,12/01/2016,05/02/2016,14.49,12,173.88,1
2663,Dewars White Label,1.75L,480,BACARDI USA INC            ,8106,20/12/2015,01/01/2016,12/01/2016,05/02/2016,21.42,12,257.04,1
3858,Grey Goose Vodka,750mL,480,BACARDI USA INC            ,8106,20/12/2015,01/01/2016,12/01/2016,05/02/2016,17.77,247,4389.19,1
3461,Corzo Silver Tequila,750mL,480,BACARDI USA INC            ,8106,20/12/2015,03/01/2016,12/01/2016,05/02/2016,39.99,1,39.99,1
3858,Grey Goose Vodka,750mL,480,BACARDI USA INC            ,8106,20/12/2015,02/01/2016,12/01/2016,05/02/2016,17.77,54,959.58,1
4233,Castillo Silver Label Rum,1.75L,480,BACARDI USA INC            ,8106,20/12/2015,02/01/2016,12/01/2016,05/02/2016,7.87,6,47.22,1
4221,Bacardi Gold Rum Traveler,1.75L,480,BACARDI USA INC            ,8106,20/12/2015,02/01/2016,12/01/2016,05/02/2016,12.94,84,1086.96,1
3858,Grey Goose Vodka,750mL,480,BACARDI USA INC            ,8106,20/12/2015,02/01/2016,12/01/2016,05/02/2016,17.77,39,693.03,1
4245,Bacardi Superior Rum,750mL,480,BACARDI USA INC            ,8106,20/12/2015,02/01/2016,12/01/2016,05/02/2016,7.93,9,71.37,1
3830,Grey Goose L'Orange Vodka,750mL,480,BACARDI USA INC            ,8106,20/12/2015,02/01/2016,12/01/2016,05/02/2016,18.45,23,424.35,1
3139,Grey Goose Le Melon,750mL,480,BACARDI USA INC            ,8106,20/12/2015,02/01/2016,12/01/2016,05/02/2016,17.64,29,511.56,1
3847,Grey Goose Vodka,50mL,480,BACARDI USA INC            ,8106,20/12/2015,01/01/2016,12/01/2016,05/02/2016,2.81,12,33.72,1
7985,Noilly Prat Extra Dry Vermou,Liter,480,BACARDI USA INC            ,8106,20/12/2015,02/01/2016,12/01/2016,05/02/2016,7.46,10,74.6,1
4223,Bacardi Gold Rum,1.75L,480,BACARDI USA INC            ,8106,20/12/2015,02/01/2016,12/01/2016,05/02/2016,14.92,6,89.52,1
3858,Grey Goose Vodka,750mL,480,BACARDI USA INC            ,8106,20/12/2015,02/01/2016,12/01/2016,05/02/2016,17.77,263,4673.51,1
2672,Dewars White Label,50mL,480,BACARDI USA INC            ,8106,20/12/2015,02/01/2016,12/01/2016,05/02/2016,1.8,12,21.6,1
4670,Bacardi Dragon Berry Rum,375mL,480,BACARDI USA INC            ,8106,20/12/2015,01/01/2016,12/01/2016,05/02/2016,2.87,11,31.57,1
3851,Grey Goose Vodka,375mL,480,BACARDI USA INC            ,8106,20/12/2015,01/01/2016,12/01/2016,05/02/2016,12.02,12,144.24,1
4223,Bacardi Gold Rum,1.75L,480,BACARDI USA INC            ,8106,20/12/2015,01/01/2016,12/01/2016,05/02/2016,14.92,18,268.56,1
4226,Bacardi Superior Rum Trav,750mL,480,BACARDI USA INC            ,8106,20/12/2015,01/01/2016,12/01/2016,05/02/2016,7.68,21,161.28,1
3857,Grey Goose Vodka,1.75L,480,BACARDI USA INC            ,8106,20/12/2015,01/01/2016,12/01/2016,05/02/2016,38.27,14,535.78,1
3348,Bombay Sapphire Gin,1.75L,480,BACARDI USA INC            ,8106,20/12/2015,02/01/2016,12/01/2016,05/02/2016,22.38,12,268.56,1
4229,Bacardi Black,1.75L,480,BACARDI USA INC            ,8106,20/12/2015,02/01/2016,12/01/2016,05/02/2016,14.7,6,88.2,1
5194,Bacardi Party Mai Tai,1.75L,480,BACARDI USA INC            ,8106,20/12/2015,02/01/2016,12/01/2016,05/02/2016,9.62,6,57.72,1
3782,Grey Goose Le Citron Vodka,750mL,480,BACARDI USA INC            ,8106,20/12/2015,02/01/2016,12/01/2016,05/02/2016,18.89,6,113.34,1
1330,Grey Goose Glass Pack,1.75L,480,BACARDI USA INC            ,8106,20/12/2015,02/01/2016,12/01/2016,05/02/2016,38.27,1,38.27,1
7221,M & R Sweet Vermouth,1.5L,480,BACARDI USA INC            ,8106,20/12/2015,02/01/2016,12/01/2016,05/02/2016,6.86,5,34.3,2
5230,Bacardi Party Drinks Bahama,1.75L,480,BACARDI USA INC            ,8106,20/12/2015,02/01/2016,12/01/2016,05/02/2016,9.92,5,49.6,1
3436,Bombay Dry Gin,1.75L,480,BACARDI USA INC            ,8106,20/12/2015,02/01/2016,12/01/2016,05/02/2016,18.79,6,112.74,1
3344,Bombay Sapphire Gin,750mL,480,BACARDI USA INC            ,8106,20/12/2015,02/01/2016,12/01/2016,05/02/2016,14.49,155,2245.95,1
3194,Grey Goose Cherry Noir Vodka,750mL,480,BACARDI USA INC            ,8106,20/12/2015,02/01/2016,12/01/2016,05/02/2016,18.31,24,439.44,1
3345,Bombay Sapphire Gin,50mL,480,BACARDI USA INC            ,8106,20/12/2015,01/01/2016,12/01/2016,05/02/2016,1.54,117,180.18,1
4066,Bacardi Oakheart Spiced Rum,1.75L,480,BACARDI USA INC            ,8106,20/12/2015,02/01/2016,12/01/2016,05/02/2016,12.85,4,51.4,1
126,Grey Goose Vodka,Liter,480,BACARDI USA INC            ,8106,20/12/2015,02/01/2016,12/01/2016,05/02/2016,20.14,16,322.24,1
3344,Bombay Sapphire Gin,750mL,480,BACARDI USA INC            ,8106,20/12/2015,01/01/2016,12/01/2016,05/02/2016,14.49,9,130.41,1
3858,Grey Goose Vodka,750mL,480,BACARDI USA INC            ,8106,20/12/2015,02/01/2016,12/01/2016,05/02/2016,17.77,11,195.47,1
3830,Grey Goose L'Orange Vodka,750mL,480,BACARDI USA INC            ,8106,20/12/2015,02/01/2016,12/01/2016,05/02/2016,18.45,3,55.35,1
4243,Bacardi Superior Rum,1.75L,480,BACARDI USA INC            ,8106,20/12/2015,02/01/2016,12/01/2016,05/02/2016,14.49,10,144.9,1
4050,Bacardi Oakheart Spiced Rum,750mL,480,BACARDI USA INC            ,8106,20/12/2015,01/01/2016,12/01/2016,05/02/2016,8.72,12,104.64,1
126,Grey Goose Vodka,Liter,480,BACARDI USA INC            ,8106,20/12/2015,01/01/2016,12/01/2016,05/02/2016,20.14,12,241.68,1
